# Today: 2015.1221
#
# Dr. Peter Koehler
# Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research
# PO Box 12 01 61, D-27515 Bremerhaven, Germany
# Phone: +49 471 4831 1687
# Email: Peter.Koehler@awi.de
#
# Reference: Köhler, P., de Boer, B., von der Heydt, A. S., Stap, L. B., and van de Wal, R. S. W.: On the state dependency of the equilibrium climate sensitivity during the last 5 million years, Clim. Past, 11, 1801-1823, doi:10.5194/cp-11-1801-2015, 2015.
#
# Figure 4c: Calculated changes in radiative forcing caused by land ice albedo (Delta R_[LI])
#
# column 1: Time (kyr BP)
# column 2: Calculated changes in radiative forcing caused by land ice albedo (Delta R_[LI] in W/m^2) (blue line)
# column 3: Calculated uncertainty of 1 sigma of (Delta R_[LI] in W/m^2) (cyan band) 
#
-5000.0	0.8524	0.1769
-4998.0	0.8612	0.1787
-4996.0	0.8557	0.1776
-4994.0	0.8576	0.1780
-4992.0	0.8820	0.1830
-4990.0	0.8883	0.1843
-4988.0	0.8636	0.1792
-4986.0	0.7531	0.1563
-4984.0	0.6498	0.1348
-4982.0	0.5738	0.1191
-4980.0	0.5236	0.1087
-4978.0	0.4541	0.0942
-4976.0	0.5105	0.1059
-4974.0	0.5592	0.1160
-4972.0	0.5725	0.1188
-4970.0	0.5826	0.1209
-4968.0	0.6059	0.1257
-4966.0	0.6263	0.1300
-4964.0	0.6527	0.1354
-4962.0	0.6813	0.1414
-4960.0	0.7153	0.1484
-4958.0	0.7481	0.1552
-4956.0	0.7678	0.1593
-4954.0	0.7413	0.1538
-4952.0	0.6590	0.1368
-4950.0	0.5932	0.1231
-4948.0	0.5298	0.1099
-4946.0	0.5227	0.1085
-4944.0	0.5105	0.1059
-4942.0	0.4874	0.1011
-4940.0	0.4764	0.0989
-4938.0	0.4756	0.0987
-4936.0	0.4805	0.0997
-4934.0	0.4962	0.1030
-4932.0	0.5404	0.1121
-4930.0	0.6218	0.1290
-4928.0	0.7216	0.1497
-4926.0	0.8252	0.1712
-4924.0	0.8461	0.1756
-4922.0	0.7903	0.1640
-4920.0	0.7454	0.1547
-4918.0	0.7516	0.1560
-4916.0	0.7837	0.1626
-4914.0	0.8016	0.1663
-4912.0	0.8001	0.1660
-4910.0	0.7863	0.1632
-4908.0	0.7281	0.1511
-4906.0	0.6402	0.1329
-4904.0	0.5593	0.1161
-4902.0	0.4357	0.0922
-4900.0	0.3644	0.0807
-4898.0	0.3074	0.0755
-4896.0	0.2518	0.0689
-4894.0	0.2149	0.0645
-4892.0	0.2204	0.0641
-4890.0	0.2071	0.0617
-4888.0	0.2333	0.0621
-4886.0	0.2512	0.0617
-4884.0	0.2966	0.0616
-4882.0	0.4247	0.0881
-4880.0	0.5700	0.1184
-4878.0	0.6557	0.1361
-4876.0	0.7191	0.1492
-4874.0	0.7653	0.1588
-4872.0	0.7630	0.1583
-4870.0	0.7491	0.1555
-4868.0	0.7143	0.1482
-4866.0	0.6596	0.1369
-4864.0	0.6164	0.1279
-4862.0	0.5715	0.1186
-4860.0	0.5021	0.1042
-4858.0	0.4654	0.0966
-4856.0	0.4505	0.0935
-4854.0	0.3807	0.0827
-4852.0	0.2953	0.0728
-4850.0	0.2518	0.0687
-4848.0	0.2337	0.0653
-4846.0	0.2251	0.0625
-4844.0	0.2583	0.0620
-4842.0	0.2976	0.0620
-4840.0	0.3839	0.0797
-4838.0	0.4374	0.0908
-4836.0	0.4890	0.1015
-4834.0	0.5606	0.1163
-4832.0	0.6467	0.1342
-4830.0	0.7394	0.1534
-4828.0	0.7900	0.1639
-4826.0	0.7951	0.1650
-4824.0	0.7655	0.1589
-4822.0	0.6737	0.1398
-4820.0	0.5960	0.1237
-4818.0	0.4976	0.1033
-4816.0	0.4103	0.0869
-4814.0	0.3639	0.0795
-4812.0	0.3481	0.0760
-4810.0	0.3658	0.0773
-4808.0	0.3909	0.0811
-4806.0	0.4439	0.0921
-4804.0	0.4788	0.0994
-4802.0	0.4922	0.1021
-4800.0	0.5016	0.1041
-4798.0	0.5219	0.1083
-4796.0	0.5329	0.1106
-4794.0	0.5469	0.1135
-4792.0	0.5698	0.1182
-4790.0	0.5730	0.1189
-4788.0	0.5629	0.1168
-4786.0	0.5332	0.1106
-4784.0	0.5145	0.1068
-4782.0	0.5062	0.1050
-4780.0	0.4860	0.1008
-4778.0	0.4412	0.0915
-4776.0	0.3678	0.0799
-4774.0	0.3208	0.0715
-4772.0	0.2994	0.0714
-4770.0	0.2993	0.0702
-4768.0	0.3394	0.0709
-4766.0	0.4115	0.0854
-4764.0	0.4736	0.0983
-4762.0	0.5327	0.1105
-4760.0	0.5905	0.1225
-4758.0	0.6519	0.1353
-4756.0	0.7102	0.1474
-4754.0	0.7208	0.1496
-4752.0	0.6547	0.1359
-4750.0	0.5964	0.1238
-4748.0	0.5484	0.1138
-4746.0	0.5515	0.1144
-4744.0	0.5651	0.1173
-4742.0	0.5816	0.1207
-4740.0	0.5784	0.1200
-4738.0	0.5334	0.1107
-4736.0	0.4815	0.0999
-4734.0	0.4402	0.0913
-4732.0	0.3859	0.0824
-4730.0	0.3722	0.0801
-4728.0	0.3689	0.0793
-4726.0	0.3877	0.0813
-4724.0	0.4114	0.0854
-4722.0	0.4664	0.0968
-4720.0	0.5171	0.1073
-4718.0	0.5240	0.1087
-4716.0	0.5106	0.1059
-4714.0	0.5144	0.1068
-4712.0	0.5429	0.1127
-4710.0	0.5920	0.1229
-4708.0	0.5940	0.1233
-4706.0	0.5743	0.1192
-4704.0	0.5150	0.1069
-4702.0	0.4613	0.0957
-4700.0	0.4118	0.0859
-4698.0	0.4020	0.0836
-4696.0	0.4008	0.0832
-4694.0	0.3956	0.0824
-4692.0	0.3838	0.0809
-4690.0	0.3763	0.0800
-4688.0	0.3813	0.0803
-4686.0	0.4171	0.0865
-4684.0	0.4743	0.0984
-4682.0	0.5760	0.1196
-4680.0	0.6699	0.1390
-4678.0	0.6959	0.1444
-4676.0	0.6873	0.1426
-4674.0	0.6893	0.1430
-4672.0	0.6976	0.1448
-4670.0	0.7218	0.1498
-4668.0	0.7028	0.1458
-4666.0	0.6641	0.1378
-4664.0	0.6542	0.1358
-4662.0	0.6682	0.1387
-4660.0	0.6697	0.1390
-4658.0	0.6021	0.1249
-4656.0	0.4778	0.0991
-4654.0	0.4028	0.0854
-4652.0	0.4059	0.0843
-4650.0	0.4224	0.0876
-4648.0	0.4535	0.0942
-4646.0	0.5167	0.1073
-4644.0	0.5566	0.1155
-4642.0	0.5661	0.1175
-4640.0	0.5685	0.1180
-4638.0	0.5698	0.1182
-4636.0	0.5709	0.1185
-4634.0	0.5604	0.1163
-4632.0	0.5347	0.1110
-4630.0	0.5143	0.1067
-4628.0	0.5065	0.1051
-4626.0	0.5038	0.1045
-4624.0	0.4986	0.1035
-4622.0	0.4766	0.0989
-4620.0	0.4686	0.0972
-4618.0	0.4634	0.0962
-4616.0	0.4602	0.0955
-4614.0	0.4434	0.0920
-4612.0	0.4187	0.0869
-4610.0	0.3782	0.0807
-4608.0	0.3929	0.0822
-4606.0	0.4030	0.0836
-4604.0	0.4305	0.0894
-4602.0	0.4623	0.0960
-4600.0	0.4941	0.1026
-4598.0	0.5067	0.1052
-4596.0	0.5046	0.1047
-4594.0	0.5046	0.1047
-4592.0	0.5051	0.1048
-4590.0	0.4993	0.1036
-4588.0	0.4800	0.0996
-4586.0	0.4462	0.0926
-4584.0	0.4293	0.0891
-4582.0	0.4125	0.0857
-4580.0	0.4019	0.0838
-4578.0	0.3917	0.0820
-4576.0	0.3816	0.0803
-4574.0	0.3879	0.0809
-4572.0	0.4309	0.0894
-4570.0	0.4839	0.1004
-4568.0	0.5129	0.1065
